Name	Type	Microbiome	SRA_accession	Comments
	amplicon	horse	SRR952194	
	amplicon	horse	SRR952195	
	amplicon	horse	SRR952196	
	amplicon	horse	SRR952197	
	amplicon	horse	SRR952198	
	amplicon	horse	SRR952199	
	amplicon	horse	SRR952200	
	amplicon	horse	SRR952153	
	amplicon	rabbit	SRR1136914	
	amplicon	rabbit	SRR1136915	
	amplicon	rabbit	SRR1136916	
	amplicon	rabbit	SRR1136917	
	amplicon	rabbit	SRR1136918	
	amplicon	rabbit	SRR1136919	
	amplicon	rabbit	SRR1136920	
	amplicon	rabbit	SRR1136921	
	amplicon	rabbit	SRR1136922	
	amplicon	rabbit	SRR1136923	
	amplicon	rabbit	SRR1136924	
	amplicon	rabbit	SRR1136925	
	amplicon	rabbit	SRR1136926	
	amplicon	rabbit	SRR1136927	
	amplicon	rabbit	SRR1136928	
	amplicon	rabbit	SRR1136929	
	amplicon	rabbit	SRR1136930	
	amplicon	rabbit	SRR1136931	
	amplicon	rabbit	SRR1136932	
	amplicon	rabbit	SRR1136933	
	amplicon	rabbit	SRR1136934	
	amplicon	rabbit	SRR1136935	
	amplicon	rabbit	SRR1136936	
	amplicon	rabbit	SRR1136937	
	amplicon	rabbit	SRR1136938	
	amplicon	rabbit	SRR1136939	
	amplicon	rabbit	SRR1136940	
	amplicon	rabbit	SRR1136941	
	amplicon	rabbit	SRR1136942	
	amplicon	rabbit	SRR1136943	
	amplicon	rabbit	SRR1136944	
	amplicon	rabbit	SRR1136945	
	amplicon	rabbit	SRR1136946	
	amplicon	rabbit	SRR1136947	
	amplicon	rabbit	SRR1136948	
	amplicon	rabbit	SRR1136949	
	amplicon	rabbit	SRR1136950	
	amplicon	rabbit	SRR1136951	
	amplicon	rabbit	SRR1136952	
	amplicon	rabbit	SRR1136953	
	amplicon	rabbit	SRR1136954	
	amplicon	rabbit	SRR1136955	
	amplicon	rabbit	SRR1136956	
	amplicon	rabbit	SRR1136957	
	amplicon	rabbit	SRR1136958	
	amplicon	rabbit	SRR1136959	
	amplicon	rabbit	SRR1136960	
	amplicon	rabbit	SRR1136961	
	amplicon	rabbit	SRR1136962	
	amplicon	rabbit	SRR1136963	
	amplicon	rabbit	SRR1136964	
	amplicon	rabbit	SRR1136965	
	amplicon	rabbit	SRR1136966	
	amplicon	rabbit	SRR1136967	
	amplicon	rabbit	SRR1136968	
	amplicon	rabbit	SRR1136969	
	amplicon	rabbit	SRR1136970	
	amplicon	rabbit	SRR1136971	
	amplicon	rabbit	SRR1136972	
	amplicon	rabbit	SRR1136973	
	amplicon	rabbit	SRR1136974	
	amplicon	rabbit	SRR1136975	
	amplicon	rabbit	SRR1136976	
	amplicon	rabbit	SRR1136977	
	amplicon	rabbit	SRR1136978	
	amplicon	rabbit	SRR1136979	
	amplicon	rabbit	SRR1136980	
	amplicon	rabbit	SRR1136981	
	amplicon	rabbit	SRR1136982	
	amplicon	rabbit	SRR1136983	
	amplicon	rabbit	SRR1136984	
	amplicon	rabbit	SRR1136985	
	amplicon	rabbit	SRR1803649	
	amplicon	rabbit	SRR1803625	
	amplicon	rabbit	SRR1803626	
	amplicon	rabbit	SRR1803627	
	amplicon	rabbit	SRR1803628	
	amplicon	rabbit	SRR1803629	
	amplicon	rabbit	SRR1803630	
	amplicon	rabbit	SRR1803631	
	amplicon	rabbit	SRR1803632	
	amplicon	rabbit	SRR1803633	
	amplicon	rabbit	SRR1803634	
	amplicon	rabbit	SRR1803635	
	amplicon	rabbit	SRR1803636	
	amplicon	rabbit	SRR1803637	
	amplicon	rabbit	SRR1803638	
	amplicon	rabbit	SRR1803639	
	amplicon	rabbit	SRR1803640	
	amplicon	rabbit	SRR1803641	
	amplicon	rabbit	SRR1803642	
	amplicon	rabbit	SRR1803643	
	amplicon	rabbit	SRR1803644	
	amplicon	rabbit	SRR1803645	
	amplicon	rabbit	SRR1803646	
	amplicon	rabbit	SRR1803647	
	amplicon	rabbit	SRR1803648	
	amplicon	rabbit	SRR1803650	
	amplicon	rabbit	SRR1803651	
	amplicon	rabbit	SRR1803652	
	amplicon	rabbit	SRR1803653	
	amplicon	rabbit	SRR1803654	
	amplicon	rabbit	SRR1803655	
	amplicon	rabbit	SRR1803656	
	amplicon	rabbit	SRR1803657	
	amplicon	rabbit	SRR1803658	
	amplicon	rabbit	SRR1803659	
	amplicon	rabbit	SRR1803660	
	amplicon	rabbit	SRR1803661	
	amplicon	rabbit	SRR1803662	
	amplicon	rabbit	SRR1803663	
	amplicon	rabbit	SRR1803664	
	amplicon	rabbit	SRR1803665	
	amplicon	rabbit	SRR1803666	
	amplicon	rabbit	SRR1803667	
	amplicon	rabbit	SRR1803668	
	amplicon	rabbit	SRR1803669	
	amplicon	rabbit	SRR1803670	
	amplicon	rabbit	SRR1803671	
	amplicon	rabbit	SRR1803672	
	amplicon	rabbit	SRR1803673	
	amplicon	rabbit	SRR1803674	
	amplicon	rabbit	SRR1803675	
	amplicon	rabbit	SRR1803676	
	amplicon	rabbit	SRR1803677	
	amplicon	rabbit	SRR1803678	
	amplicon	rabbit	SRR1803679	
	amplicon	rabbit	SRR1803680	
	amplicon	rabbit	SRR1803681	
	amplicon	rabbit	SRR1803682	
	amplicon	rabbit	SRR1803683	
	amplicon	rabbit	SRR1803684	
	amplicon	rabbit	SRR1803685	
	amplicon	rabbit	SRR1803686	
	amplicon	rabbit	SRR1803687	
	amplicon	rabbit	SRR1803688	
	amplicon	rabbit	SRR1803689	
	amplicon	rabbit	SRR1803690	
	amplicon	rabbit	SRR1803691	
	amplicon	rabbit	SRR1803692	
	amplicon	rabbit	SRR1803693	
	amplicon	rabbit	SRR1803694	
	amplicon	rabbit	SRR1803695	
	amplicon	rabbit	SRR1803696	
	amplicon	rabbit	SRR1803697	
	amplicon	rabbit	SRR1803698	
	amplicon	rabbit	SRR1803699	
	amplicon	rabbit	SRR1803700	
	amplicon	rabbit	SRR1803701	
	amplicon	rabbit	SRR1803702	
	amplicon	rabbit	SRR1803704	
	amplicon	rabbit	SRR1803705	
	amplicon	rabbit	SRR1803706	
	amplicon	rabbit	SRR1803707	
	amplicon	rabbit	SRR1803708	
	amplicon	rabbit	SRR1803709	
	amplicon	rabbit	SRR1803710	
	amplicon	rabbit	SRR1803711	
	amplicon	rabbit	SRR1803712	
	amplicon	rabbit	SRR1803713	
	amplicon	rabbit	SRR1803714	
	amplicon	rabbit	SRR1803715	
	amplicon	rabbit	SRR1803716	
	amplicon	rabbit	SRR1803717	
	amplicon	rabbit	SRR1803718	
	amplicon	rabbit	SRR1803719	
	amplicon	rabbit	SRR1803720	
	amplicon	rabbit	SRR1803722	
	amplicon	rabbit	SRR1803723	
	amplicon	rabbit	SRR1803724	
	amplicon	rabbit	SRR1803725	
	amplicon	rabbit	SRR1803726	
	amplicon	rabbit	SRR1803727	
	amplicon	rabbit	SRR1803728	
	amplicon	rabbit	SRR1803729	
	amplicon	rabbit	SRR1803730	
	amplicon	rabbit	SRR1803731	
	amplicon	rabbit	SRR1803732	
	amplicon	rabbit	SRR1803733	
	amplicon	rabbit	SRR1803734	
	amplicon	rabbit	SRR1803735	
	amplicon	rabbit	SRR1803736	
	amplicon	rabbit	SRR1803737	
	amplicon	rabbit	SRR1803738	
	amplicon	rabbit	SRR1803739	
	amplicon	rabbit	SRR1803740	
	amplicon	rabbit	SRR1803741	
	amplicon	rabbit	SRR1803742	
	amplicon	rabbit	SRR1803743	
	amplicon	rabbit	SRR1803744	
	amplicon	rabbit	SRR1803745	
	amplicon	rabbit	SRR1803746	
	amplicon	rabbit	SRR1803747	
	amplicon	rabbit	SRR1803748	
	amplicon	rabbit	SRR1803749	
	amplicon	rabbit	SRR1803750	
	amplicon	rabbit	SRR1803751	
	amplicon	rabbit	SRR1803752	
	amplicon	rabbit	SRR1803753	
	amplicon	rabbit	SRR1803754	
	amplicon	rabbit	SRR1803755	
	amplicon	rabbit	SRR1803756	
	amplicon	rabbit	SRR1803757	
	amplicon	rabbit	SRR1803758	
	amplicon	rabbit	SRR1803759	
	amplicon	rabbit	SRR1803760	
	amplicon	rabbit	SRR1803761	
	amplicon	rabbit	SRR1803762	
	amplicon	rabbit	SRR1803763	
	amplicon	rabbit	SRR1803764	
	amplicon	rabbit	SRR1803765	
	amplicon	rabbit	SRR1803766	
	amplicon	rabbit	SRR1803767	
	amplicon	rabbit	SRR1803768	
	amplicon	rabbit	SRR1803769	
	amplicon	horse	SRR2060369	
	amplicon	horse	SRR2060370	
	amplicon	horse	SRR2060371	
	amplicon	horse	SRR2060372	
	amplicon	horse	SRR2060373	
	amplicon	horse	SRR2060374	
	amplicon	horse	SRR2060375	
	amplicon	horse	SRR2060377	
	amplicon	horse	SRR2060378	
	amplicon	horse	SRR2060379	
	amplicon	horse	SRR2060380	
	amplicon	horse	SRR2060381	
	amplicon	horse	SRR2060382	
	amplicon	horse	SRR2060383	
	amplicon	horse	SRR2060384	
	amplicon	horse	SRR2060385	
	amplicon	horse	SRR2060386	
	amplicon	horse	SRR2060387	
	amplicon	horse	SRR2060388	
	amplicon	horse	SRR2060389	
	amplicon	horse	SRR2060390	
	amplicon	horse	SRR2060391	
	amplicon	horse	SRR2060392	
	amplicon	horse	SRR2060393	
	amplicon	horse	SRR2060394	
	amplicon	horse	SRR2060395	
	amplicon	horse	SRR2060396	
	amplicon	horse	SRR2060397	
	amplicon	horse	SRR2060398	
	amplicon	horse	SRR2060399	
	amplicon	horse	SRR2060400	
	amplicon	horse	SRR2060401	
	amplicon	horse	SRR2060402	
	amplicon	horse	SRR2060403	
	amplicon	horse	SRR2060404	
	amplicon	horse	SRR2060405	
	amplicon	horse	SRR2060406	
	amplicon	horse	SRR2060407	
	amplicon	horse	SRR2060408	
	amplicon	horse	SRR2060409	
	amplicon	horse	SRR2060410	
	amplicon	horse	SRR2060411	
	amplicon	horse	SRR2060412	
	amplicon	horse	SRR2060413	
	amplicon	horse	SRR2060414	
	amplicon	horse	SRR2060415	
	amplicon	horse	SRR2060416	
	amplicon	horse	SRR2060417	
	amplicon	horse	SRR2060418	
	amplicon	horse	SRR2060419	
	amplicon	horse	SRR2060420	
	amplicon	horse	SRR2060421	
	amplicon	horse	SRR2060422	
	amplicon	horse	SRR2060423	
	amplicon	horse	SRR2060424	
	amplicon	horse	SRR2060425	
	amplicon	horse	SRR2060426	
	amplicon	horse	SRR2060427	
	amplicon	horse	SRR2060428	
	amplicon	horse	SRR2060429	
	amplicon	horse	SRR2060430	
	amplicon	horse	SRR2060431	
	amplicon	horse	SRR2060432	
	amplicon	horse	SRR2060433	
	amplicon	horse	SRR2060434	
	amplicon	horse	SRR2060435	
	amplicon	horse	SRR2060436	
	amplicon	horse	SRR2060437	
	amplicon	horse	SRR2060438	
	amplicon	horse	SRR2060439	
	amplicon	horse	SRR2060440	
	amplicon	horse	SRR2060441	
	amplicon	horse	SRR2060442	
	amplicon	horse	SRR2060443	
	amplicon	horse	SRR2060444	
	amplicon	horse	SRR2060445	
	amplicon	horse	SRR2060446	
	amplicon	horse	SRR2060447	
	amplicon	horse	SRR2060448	
	amplicon	horse	SRR2060449	
	amplicon	horse	SRR2060450	
	amplicon	horse	SRR2060451	
	amplicon	horse	SRR2060452	
	amplicon	horse	SRR2060453	
	amplicon	horse	SRR2060454	
	amplicon	horse	SRR2060455	
	amplicon	horse	SRR2060456	
	amplicon	horse	SRR2060457	
	amplicon	horse	SRR2060458	
	amplicon	horse	SRR2060459	
	amplicon	horse	SRR2060460	
	amplicon	horse	SRR2060461	
	amplicon	horse	SRR2060462	
	amplicon	horse	SRR2060463	
	amplicon	horse	SRR2060464	
	amplicon	horse	SRR2060465	
	amplicon	horse	SRR2060466	
	amplicon	horse	SRR2060467	
	amplicon	horse	SRR2060468	
	amplicon	horse	SRR2060469	
	amplicon	horse	SRR2060470	
	amplicon	horse	SRR2060471	
	amplicon	horse	SRR2060472	
	amplicon	horse	SRR2060473	
	amplicon	horse	SRR2060474	
	amplicon	horse	SRR2060475	
	amplicon	horse	SRR2060476	
	amplicon	horse	SRR2060477	
	amplicon	horse	SRR2060478	
	amplicon	horse	SRR2060479	
	amplicon	horse	SRR2060480	
	amplicon	horse	SRR2060481	
	amplicon	horse	SRR2060482	
	amplicon	horse	SRR2060483	
	amplicon	horse	SRR2060484	
	amplicon	horse	SRR2060485	
	amplicon	horse	SRR2060486	
	amplicon	horse	SRR2060487	
	amplicon	horse	SRR2060488	
	amplicon	rabbit	SRR2177375	
	amplicon	rabbit	SRR2177376	
	amplicon	rabbit	SRR2177378	
	amplicon	rabbit	SRR2177379	
	amplicon	rabbit	SRR2177380	
	amplicon	rabbit	SRR2177381	
	amplicon	rabbit	SRR2177383	
	amplicon	rabbit	SRR2177386	
	amplicon	rabbit	SRR2177391	
	amplicon	rabbit	SRR2177396	
	amplicon	rabbit	SRR2177400	
	amplicon	horse	SRR3131271	
	amplicon	horse	SRR3131273	
	amplicon	horse	SRR3131276	
	amplicon	horse	SRR3131281	
	amplicon	horse	SRR3131284	
	amplicon	horse	SRR3131285	
	amplicon	horse	SRR3131288	
	amplicon	horse	SRR3131290	
	amplicon	horse	SRR3131292	
	amplicon	horse	SRR3131294	
	amplicon	horse	SRR3131297	
	amplicon	horse	SRR3131300	
	amplicon	horse	SRR3131307	
	amplicon	horse	SRR3131308	
	amplicon	horse	SRR3131309	
	amplicon	horse	SRR3131311	
	amplicon	horse	SRR3131313	
	amplicon	horse	SRR3131314	
	amplicon	horse	SRR3131316	
	amplicon	horse	SRR3131318	
	amplicon	horse	SRR3131320	
	amplicon	horse	SRR3131322	
	amplicon	horse	SRR3131325	
	amplicon	horse	SRR3131329	
	amplicon	horse	SRR3131331	
	amplicon	horse	SRR3131333	
	amplicon	horse	SRR3131335	
	amplicon	horse	SRR3131338	
	amplicon	horse	SRR3131339	
	amplicon	horse	SRR3131341	
	amplicon	horse	SRR3131343	
	amplicon	horse	SRR3131346	
	amplicon	horse	SRR3131349	
	amplicon	horse	SRR3131366	
	amplicon	horse	SRR3131367	
	amplicon	horse	SRR3131369	
	amplicon	horse	SRR3131371	
	amplicon	horse	SRR3131373	
	amplicon	horse	SRR3131375	
	amplicon	horse	SRR3131272	
	amplicon	horse	SRR3131275	
	amplicon	horse	SRR3131277	
	amplicon	horse	SRR3131278	
	amplicon	horse	SRR3131282	
	amplicon	horse	SRR3131283	
	amplicon	horse	SRR3131286	
	amplicon	horse	SRR3131287	
	amplicon	horse	SRR3131289	
	amplicon	horse	SRR3131291	
	amplicon	horse	SRR3131293	
	amplicon	horse	SRR3131295	
	amplicon	horse	SRR3131296	
	amplicon	horse	SRR3131298	
	amplicon	horse	SRR3131299	
	amplicon	horse	SRR3131301	
	amplicon	horse	SRR3131306	
	amplicon	horse	SRR3131310	
	amplicon	horse	SRR3131312	
	amplicon	horse	SRR3131315	
	amplicon	horse	SRR3131317	
	amplicon	horse	SRR3131319	
	amplicon	horse	SRR3131321	
	amplicon	horse	SRR3131323	
	amplicon	horse	SRR3131324	
	amplicon	horse	SRR3131326	
	amplicon	horse	SRR3131330	
	amplicon	horse	SRR3131332	
	amplicon	horse	SRR3131334	
	amplicon	horse	SRR3131336	
	amplicon	horse	SRR3131337	
	amplicon	horse	SRR3131340	
	amplicon	horse	SRR3131342	
	amplicon	horse	SRR3131344	
	amplicon	horse	SRR3131345	
	amplicon	horse	SRR3131347	
	amplicon	horse	SRR3131348	
	amplicon	horse	SRR3131365	
	amplicon	horse	SRR3131368	
	amplicon	horse	SRR3131370	
	amplicon	horse	SRR3131372	
	amplicon	horse	SRR3131374	
	amplicon	rabbit	SRR3271403	
	amplicon	rabbit	SRR3271404	
	amplicon	rabbit	SRR3271405	
	amplicon	rabbit	SRR3271406	
	amplicon	rabbit	SRR3271407	
	amplicon	rabbit	SRR3271408	
	amplicon	rabbit	SRR3271409	
	amplicon	rabbit	SRR3271410	
	amplicon	rabbit	SRR3271411	
	amplicon	rabbit	SRR3271412	
	amplicon	rabbit	SRR3271413	
	amplicon	rabbit	SRR3271414	
	amplicon	rabbit	SRR3271415	
	amplicon	rabbit	SRR3271416	
	amplicon	rabbit	SRR3271417	
	amplicon	rabbit	SRR3271418	
	amplicon	rabbit	SRR3271419	
	amplicon	rabbit	SRR3271420	
	amplicon	rabbit	SRR3271421	
	amplicon	rabbit	SRR3271422	
	amplicon	rabbit	SRR3271423	
	amplicon	rabbit	SRR3271424	
	amplicon	rabbit	SRR3271425	
	amplicon	rabbit	SRR3271426	
	amplicon	rabbit	SRR3271427	
	amplicon	rabbit	SRR3271428	
	amplicon	rabbit	SRR3271429	
	amplicon	rabbit	SRR3271430	
	amplicon	rabbit	SRR3271431	
	amplicon	rabbit	SRR3271432	
	amplicon	rabbit	SRR3271433	
	amplicon	rabbit	SRR3271434	
	amplicon	rabbit	SRR3271435	
	amplicon	rabbit	SRR3271436	
	amplicon	rabbit	SRR3271437	
	amplicon	rabbit	SRR3271438	
	amplicon	rabbit	SRR3271439	
	amplicon	rabbit	SRR3271440	
	amplicon	rabbit	SRR3271441	
	amplicon	rabbit	SRR3271442	
	amplicon	rabbit	SRR3271443	
	amplicon	rabbit	SRR3271444	
	amplicon	rabbit	SRR3271445	
	amplicon	rabbit	SRR3271446	
	amplicon	rabbit	SRR3271447	
	amplicon	rabbit	SRR3271448	
	amplicon	rabbit	SRR3271449	
	amplicon	rabbit	SRR3271464	
	amplicon	rabbit	SRR3271483	
	amplicon	rabbit	SRR3271484	
	amplicon	rabbit	SRR3271485	
	amplicon	rabbit	SRR3271486	
	amplicon	rabbit	SRR3271487	
	amplicon	rabbit	SRR3271488	
	amplicon	rabbit	SRR3271489	
	amplicon	rabbit	SRR3271490	
	amplicon	rabbit	SRR3271491	
	amplicon	rabbit	SRR3271492	
	amplicon	rabbit	SRR3271493	
	amplicon	rabbit	SRR3271494	
	amplicon	rabbit	SRR3271495	
	amplicon	rabbit	SRR3271496	
	amplicon	rabbit	SRR3271497	
	amplicon	rabbit	SRR3271498	
	amplicon	rabbit	SRR3271499	
	amplicon	rabbit	SRR3271500	
	amplicon	rabbit	SRR3271501	
	amplicon	rabbit	SRR3271502	
	amplicon	rabbit	SRR3271503	
	amplicon	rabbit	SRR3271504	
	amplicon	rabbit	SRR3271505	
	amplicon	rabbit	SRR3271506	
	amplicon	rabbit	SRR3271507	
	amplicon	rabbit	SRR3271508	
	amplicon	rabbit	SRR3271509	
	amplicon	rabbit	SRR3271510	
	amplicon	rabbit	SRR3271511	
	amplicon	rabbit	SRR3271512	
	amplicon	rabbit	SRR3271513	
	amplicon	rabbit	SRR3271514	
	amplicon	rabbit	SRR3271515	
	amplicon	rabbit	SRR3271516	
	amplicon	rabbit	SRR3271517	
	amplicon	rabbit	SRR3271518	
	amplicon	rabbit	SRR3271519	
	amplicon	rabbit	SRR3271520	
	amplicon	rabbit	SRR3271521	
	amplicon	rabbit	SRR3271522	
	amplicon	rabbit	SRR3271523	
	amplicon	rabbit	SRR3271524	
	amplicon	rabbit	SRR3271525	
	amplicon	rabbit	SRR3271526	
	amplicon	rabbit	SRR3271527	
	amplicon	rabbit	SRR3271528	
	amplicon	rabbit	SRR3271529	
	amplicon	rabbit	SRR3271530	
	amplicon	rabbit	SRR3271531	
	amplicon	rabbit	SRR3271532	
	amplicon	rabbit	SRR3271533	
	amplicon	rabbit	SRR3271534	
	amplicon	rabbit	SRR3271535	
	amplicon	rabbit	SRR3271536	
	amplicon	rabbit	SRR3271537	
	amplicon	rabbit	SRR3271538	
	amplicon	rabbit	SRR3271539	
	amplicon	rabbit	SRR3271540	
	amplicon	rabbit	SRR3271541	
	amplicon	rabbit	SRR3271542	
	amplicon	rabbit	SRR3271543	
	amplicon	rabbit	SRR3271544	
	amplicon	rabbit	SRR3271545	
	amplicon	rabbit	SRR3271546	
	amplicon	rabbit	SRR3271547	
	amplicon	rabbit	SRR3271548	
	amplicon	rabbit	SRR3271549	
	amplicon	rabbit	SRR3271550	
	amplicon	rabbit	SRR3271551	
	amplicon	rabbit	SRR3271552	
	amplicon	rabbit	SRR3271553	
	amplicon	rabbit	SRR3271554	
	amplicon	rabbit	SRR3271555	
	amplicon	rabbit	SRR3271556	
	amplicon	rabbit	SRR3271557	
	amplicon	rabbit	SRR3271558	
	amplicon	rabbit	SRR3271559	
	amplicon	rabbit	SRR3271560	
	amplicon	rabbit	SRR3271561	
	amplicon	rabbit	SRR3271562	
	amplicon	rabbit	SRR3271563	
	amplicon	rabbit	SRR3271564	
	amplicon	rabbit	SRR3271565	
	amplicon	rabbit	SRR3271566	
	amplicon	rabbit	SRR3271567	
	amplicon	rabbit	SRR3271568	
	amplicon	rabbit	SRR3271569	
	amplicon	rabbit	SRR3271570	
	amplicon	rabbit	SRR3271571	
	amplicon	rabbit	SRR3271572	
	amplicon	rabbit	SRR3271573	
	amplicon	rabbit	SRR3271574	
	amplicon	rabbit	SRR3271575	
	amplicon	rabbit	SRR3271576	
	amplicon	rabbit	SRR3271577	
	amplicon	rabbit	SRR3271578	
	amplicon	rabbit	SRR3271579	
	amplicon	rabbit	SRR3271580	
	amplicon	rabbit	SRR3271581	
	amplicon	rabbit	SRR3271582	
	amplicon	rabbit	SRR3271583	
	amplicon	rabbit	SRR3271584	
	amplicon	rabbit	SRR3271585	
	amplicon	Unknown	SRR5282642	
	amplicon	Unknown	SRR5282643	
	amplicon	Unknown	SRR5282644	
	amplicon	Unknown	SRR5282645	
	amplicon	Unknown	SRR5282646	
	amplicon	Unknown	SRR5282647	
	amplicon	Unknown	SRR5282648	
	amplicon	Unknown	SRR5282649	
	amplicon	Unknown	SRR5282650	
	amplicon	Unknown	SRR5282651	
	amplicon	Unknown	SRR5282652	
	amplicon	Unknown	SRR5282653	
	amplicon	Unknown	SRR5282654	
	amplicon	Unknown	SRR5282655	
	amplicon	Unknown	SRR5282656	
	amplicon	Unknown	SRR5282657	
	amplicon	rabbit	SRR5627587	
	amplicon	rabbit	SRR5627588	
	amplicon	rabbit	SRR5627589	
	amplicon	rabbit	SRR5627590	
	amplicon	rabbit	SRR5627592	
	amplicon	rabbit	SRR5627593	
	amplicon	rabbit	SRR5627594	
	amplicon	rabbit	SRR5627595	
	amplicon	rabbit	SRR5627596	
	amplicon	rabbit	SRR5627597	
	amplicon	sheep	SRR5627598	
	amplicon	sheep	SRR5627599	
	amplicon	sheep	SRR5627600	
	amplicon	rabbit	SRR5627601	
	amplicon	rabbit	SRR5627602	
	amplicon	rabbit	SRR5627603	
	amplicon	rabbit	SRR5627604	
	amplicon	sheep	SRR5627605	
	amplicon	sheep	SRR5627606	
	amplicon	goat	SRR5874491	
	amplicon	goat	SRR5874492	
	amplicon	goat	SRR5874493	
	amplicon	goat	SRR5874494	
	amplicon	goat	SRR5874495	
	amplicon	goat	SRR5874496	
	amplicon	goat	SRR5874497	
	amplicon	goat	SRR5874498	
	amplicon	goat	SRR5874499	
	amplicon	goat	SRR5874500	
	amplicon	goat	SRR5874501	
	amplicon	goat	SRR5874502	
	amplicon	goat	SRR5874503	
	amplicon	goat	SRR5874504	
	amplicon	goat	SRR5874505	
	amplicon	goat	SRR5874506	
	amplicon	goat	SRR5874507	
	amplicon	goat	SRR5874508	
	amplicon	goat	SRR5874509	
	amplicon	goat	SRR5874510	
	amplicon	goat	SRR5874511	
	amplicon	goat	SRR5874512	
	amplicon	goat	SRR5874513	
	amplicon	goat	SRR5874514	
	amplicon	goat	SRR5874515	
	amplicon	goat	SRR5874516	
	amplicon	goat	SRR5874517	
	amplicon	goat	SRR5874518	
	amplicon	goat	SRR5874519	
	amplicon	goat	SRR5874520	
	amplicon	goat	SRR5874521	
	amplicon	goat	SRR5874522	
	amplicon	goat	SRR5874523	
	amplicon	goat	SRR5874524	
	amplicon	goat	SRR5874525	
	amplicon	goat	SRR5874526	
	amplicon	goat	SRR5874527	
	amplicon	goat	SRR5874528	
	amplicon	goat	SRR5874529	
	amplicon	goat	SRR5874530	
	amplicon	goat	SRR5874531	
	amplicon	goat	SRR5874532	
	amplicon	goat	SRR5874533	
	amplicon	goat	SRR5874534	
	amplicon	goat	SRR5874535	
	amplicon	goat	SRR5874536	
	amplicon	goat	SRR5874537	
	amplicon	goat	SRR5874538	
	amplicon	goat	SRR5874539	
	amplicon	goat	SRR5874540	
	amplicon	goat	SRR5874541	
	amplicon	goat	SRR5874542	
	amplicon	goat	SRR5874543	
	amplicon	goat	SRR5874544	
	amplicon	goat	SRR5874545	
	amplicon	goat	SRR5874546	
	amplicon	goat	SRR5874547	
	amplicon	goat	SRR5874548	
	amplicon	goat	SRR5874549	
	amplicon	goat	SRR5874550	
	amplicon	horse	SRR5937810	
	amplicon	horse	SRR5937811	
	amplicon	horse	SRR5937812	
	amplicon	horse	SRR5937813	
	amplicon	horse	SRR5937814	
	amplicon	horse	SRR5937815	
	amplicon	horse	SRR5937816	
	amplicon	horse	SRR5937817	
	amplicon	horse	SRR5937818	
	amplicon	horse	SRR5937819	
	amplicon	horse	SRR5937820	
	amplicon	horse	SRR5937821	
	amplicon	horse	SRR5937822	
	amplicon	horse	SRR5937823	
	amplicon	horse	SRR5937824	
	amplicon	horse	SRR5937825	
	amplicon	horse	SRR5937826	
	amplicon	horse	SRR5937827	
	amplicon	horse	SRR5937828	
	amplicon	horse	SRR5937829	
	amplicon	horse	SRR5937830	
	amplicon	horse	SRR5937831	
	amplicon	horse	SRR5937832	
	amplicon	horse	SRR5937833	
	amplicon	horse	SRR5937834	
	amplicon	horse	SRR5937835	
	amplicon	horse	SRR5937836	
	amplicon	horse	SRR5937837	
	amplicon	horse	SRR5937838	
	amplicon	horse	SRR5937839	
	amplicon	horse	SRR5937840	
	amplicon	horse	SRR5937841	
	amplicon	horse	SRR5937842	
	amplicon	horse	SRR5937843	
	amplicon	horse	SRR5937844	
	amplicon	horse	SRR5937845	
	amplicon	horse	SRR5937846	
	amplicon	horse	SRR5937847	
	amplicon	horse	SRR5937848	
	amplicon	horse	SRR5937849	
	amplicon	horse	SRR5937850	
	amplicon	horse	SRR5937851	
	amplicon	horse	SRR5937852	
	amplicon	horse	SRR5937853	
	amplicon	horse	SRR5937854	
	amplicon	horse	SRR5937855	
	amplicon	horse	SRR5937856	
	amplicon	horse	SRR5937857	
	amplicon	horse	SRR5937858	
	amplicon	horse	SRR5937859	
	amplicon	horse	SRR5937860	
	amplicon	horse	SRR5937861	
	amplicon	horse	SRR5937862	
	amplicon	horse	SRR5937863	
	amplicon	horse	SRR5937864	
	amplicon	horse	SRR5937865	
	amplicon	horse	SRR5937866	
	amplicon	horse	SRR5937867	
	amplicon	horse	SRR5937868	
	amplicon	horse	SRR5937869	
	amplicon	horse	SRR5937870	
	amplicon	horse	SRR5937871	
	amplicon	horse	SRR5937872	
	amplicon	horse	SRR5937873	
	amplicon	horse	SRR5937874	
	amplicon	horse	SRR5937875	
	amplicon	horse	SRR5937876	
	amplicon	horse	SRR5937877	
	amplicon	horse	SRR5937878	
	amplicon	horse	SRR5937879	
	amplicon	horse	SRR5937880	
	amplicon	horse	SRR5937773	
	amplicon	horse	SRR5937774	
	amplicon	horse	SRR5937775	
	amplicon	horse	SRR5937776	
	amplicon	horse	SRR5937777	
	amplicon	horse	SRR5937778	
	amplicon	horse	SRR5937779	
	amplicon	horse	SRR5937780	
	amplicon	horse	SRR5937781	
	amplicon	horse	SRR5937782	
	amplicon	horse	SRR5937783	
	amplicon	horse	SRR5937784	
	amplicon	horse	SRR5937785	
	amplicon	horse	SRR5937786	
	amplicon	horse	SRR5937787	
	amplicon	horse	SRR5937788	
	amplicon	horse	SRR5937789	
	amplicon	horse	SRR5937791	
	amplicon	horse	SRR5937792	
	amplicon	horse	SRR5937793	
	amplicon	horse	SRR5937794	
	amplicon	horse	SRR5937795	
	amplicon	horse	SRR5937796	
