Name	Type	Microbiome	SRA_accession	Comments
	amplicon	Unknown	ERR227213	
	amplicon	Unknown	ERR227214	
	amplicon	Unknown	ERR227215	
	amplicon	Unknown	ERR227216	
	amplicon	Unknown	ERR227217	
	amplicon	Unknown	ERR227218	
	amplicon	Unknown	ERR227219	
	amplicon	Unknown	ERR227220	
	amplicon	Unknown	ERR227221	
	amplicon	Unknown	ERR227222	
	amplicon	Unknown	ERR227223	
	amplicon	Unknown	ERR227224	
	amplicon	Unknown	ERR227225	
	amplicon	Unknown	ERR227226	
	amplicon	Unknown	ERR227227	
	amplicon	Unknown	ERR227228	
	amplicon	Unknown	ERR227229	
	amplicon	Unknown	ERR227230	
	amplicon	Unknown	ERR227231	
	amplicon	Unknown	ERR227232	
	amplicon	Unknown	ERR227233	
	amplicon	Unknown	ERR227234	
	amplicon	Unknown	ERR227235	
	amplicon	Unknown	ERR227236	
	amplicon	Unknown	ERR227237	
	amplicon	Unknown	ERR227238	
	amplicon	Unknown	ERR227239	
	amplicon	Unknown	ERR227240	
	amplicon	Unknown	ERR227241	
	amplicon	Unknown	ERR227242	
	amplicon	Unknown	ERR227243	
	amplicon	Unknown	ERR227244	
	amplicon	Unknown	ERR227245	
	amplicon	Unknown	ERR227246	
	amplicon	Unknown	ERR227247	
	amplicon	Unknown	ERR227248	
	amplicon	Unknown	ERR227249	
	amplicon	Unknown	ERR227250	
	amplicon	Unknown	ERR227251	
	amplicon	Unknown	ERR227252	
	amplicon	Unknown	ERR227253	
	amplicon	Unknown	ERR227254	
	amplicon	Unknown	ERR227255	
	amplicon	Unknown	ERR227256	
	amplicon	Unknown	ERR227257	
	amplicon	Unknown	ERR227258	
	amplicon	Unknown	ERR227259	
	amplicon	Unknown	ERR227260	
	amplicon	Unknown	ERR227261	
	amplicon	Unknown	ERR227262	
	amplicon	Unknown	ERR227263	
	amplicon	Unknown	ERR227264	
	amplicon	Unknown	ERR227265	
	amplicon	Unknown	ERR227266	
	amplicon	Unknown	ERR227267	
	amplicon	Unknown	ERR227268	
	amplicon	Unknown	ERR227269	
	amplicon	Unknown	ERR227270	
	amplicon	Unknown	ERR227271	
	amplicon	Unknown	ERR227272	
	amplicon	Unknown	ERR227273	
	amplicon	Unknown	ERR227274	
	amplicon	Unknown	ERR227275	
	amplicon	Unknown	ERR227276	
	amplicon	Unknown	ERR227277	
	amplicon	Unknown	ERR227278	
	amplicon	Unknown	ERR227279	
	amplicon	Unknown	ERR227280	
	amplicon	Unknown	ERR227281	
	amplicon	Unknown	ERR227282	
	amplicon	Unknown	ERR227283	
	amplicon	Unknown	ERR227284	
	amplicon	Unknown	ERR227285	
	amplicon	Unknown	ERR227286	
	amplicon	Unknown	ERR227287	
	amplicon	Unknown	ERR227288	
	amplicon	Unknown	ERR227289	
	amplicon	Unknown	ERR227290	
	amplicon	Unknown	ERR227291	
	amplicon	Unknown	ERR227292	
	amplicon	Unknown	ERR227293	
	amplicon	Unknown	ERR227294	
	amplicon	Unknown	ERR227295	
	amplicon	Unknown	ERR227296	
	amplicon	Unknown	ERR227297	
	amplicon	Unknown	ERR227298	
	amplicon	Unknown	ERR227299	
	amplicon	Unknown	ERR227300	
	amplicon	Unknown	ERR227301	
	amplicon	Unknown	ERR227302	
	amplicon	Unknown	ERR227303	
	amplicon	Unknown	ERR227304	
	amplicon	Unknown	ERR227305	
	amplicon	Unknown	ERR227306	
	amplicon	Unknown	ERR227307	
	amplicon	Unknown	ERR227308	
	amplicon	Unknown	ERR227309	
	amplicon	Unknown	ERR227310	
	amplicon	Unknown	ERR227311	
	amplicon	Unknown	ERR227312	
	amplicon	Unknown	ERR227313	
	amplicon	Unknown	ERR227314	
	amplicon	Unknown	ERR227315	
	amplicon	Unknown	ERR227316	
	amplicon	Unknown	ERR227317	
	amplicon	Unknown	ERR227318	
	amplicon	Unknown	ERR227319	
	amplicon	Unknown	ERR227320	
	amplicon	Unknown	ERR227321	
	amplicon	Unknown	ERR227322	
	amplicon	Unknown	ERR227323	
	amplicon	Unknown	ERR227324	
	amplicon	Unknown	ERR227325	
	amplicon	Unknown	ERR227326	
	amplicon	Unknown	ERR227327	
	amplicon	Unknown	ERR227328	
	amplicon	Unknown	ERR227329	
	amplicon	Unknown	ERR227330	
	amplicon	Unknown	ERR227331	
	amplicon	Unknown	ERR227332	
	amplicon	Unknown	ERR227333	
	amplicon	Unknown	ERR227334	
	amplicon	Unknown	ERR227335	
	amplicon	Unknown	ERR227336	
	amplicon	Unknown	ERR227337	
	amplicon	Unknown	ERR227338	
	amplicon	Unknown	ERR227339	
	amplicon	Unknown	ERR227340	
	amplicon	Unknown	ERR227341	
	amplicon	Unknown	ERR227342	
	amplicon	Unknown	ERR227343	
	amplicon	Unknown	ERR227344	
	amplicon	Unknown	ERR227345	
	amplicon	Unknown	ERR227346	
	amplicon	Unknown	ERR227347	
	amplicon	Unknown	ERR227348	
	amplicon	Unknown	ERR227349	
	amplicon	Unknown	ERR227350	
	amplicon	Unknown	ERR227351	
	amplicon	Unknown	ERR227352	
	amplicon	Unknown	ERR227353	
	amplicon	Unknown	ERR227354	
	amplicon	Unknown	ERR227355	
	amplicon	Unknown	ERR227356	
	amplicon	Unknown	ERR227357	
	amplicon	Unknown	ERR227358	
	amplicon	Unknown	ERR227359	
	amplicon	Unknown	ERR227360	
	amplicon	Unknown	ERR227361	
	amplicon	Unknown	ERR227362	
	amplicon	Unknown	ERR227363	
	amplicon	Unknown	ERR227364	
	amplicon	Unknown	ERR227365	
	amplicon	Unknown	ERR227366	
	amplicon	Unknown	ERR227367	
	amplicon	Unknown	ERR227368	
	amplicon	Unknown	ERR227369	
	amplicon	Unknown	ERR227370	
	amplicon	Unknown	ERR227371	
	amplicon	Unknown	ERR227372	
	amplicon	Unknown	ERR227373	
	amplicon	Unknown	ERR227374	
	amplicon	Unknown	ERR227375	
	amplicon	Unknown	ERR227376	
	amplicon	Unknown	ERR227377	
	amplicon	Unknown	ERR227378	
	amplicon	Unknown	ERR227379	
	amplicon	Unknown	ERR227380	
	amplicon	Unknown	ERR227381	
	amplicon	Unknown	ERR227382	
	amplicon	Unknown	ERR227383	
	amplicon	Unknown	ERR227384	
	amplicon	Unknown	ERR227385	
	amplicon	Unknown	ERR227386	
	amplicon	Unknown	ERR227387	
	amplicon	Unknown	ERR227388	
	amplicon	Unknown	ERR227389	
	amplicon	Unknown	ERR227390	
	amplicon	Unknown	ERR227391	
	amplicon	Unknown	ERR227392	
	amplicon	Unknown	ERR227393	
	amplicon	Unknown	ERR227394	
	amplicon	Unknown	ERR227395	
	amplicon	Unknown	ERR227396	
	amplicon	Unknown	ERR227397	
	amplicon	Unknown	ERR227398	
	amplicon	Unknown	ERR227399	
	amplicon	Unknown	ERR227400	
	amplicon	Unknown	ERR227401	
	amplicon	Unknown	ERR227402	
	amplicon	Unknown	ERR227403	
	amplicon	Unknown	ERR227404	
	amplicon	Unknown	ERR227405	
	amplicon	Unknown	ERR227406	
	amplicon	Unknown	ERR227407	
	amplicon	Unknown	ERR227408	
	amplicon	Unknown	ERR227409	
	amplicon	Unknown	ERR227410	
	amplicon	Unknown	ERR227411	
	amplicon	Unknown	ERR227412	
	amplicon	Unknown	ERR227413	
	amplicon	Unknown	ERR227414	
	amplicon	Unknown	ERR227415	
	amplicon	Unknown	ERR227416	
	amplicon	Unknown	ERR227417	
	amplicon	Unknown	ERR227418	
	amplicon	Unknown	ERR227419	
	amplicon	Unknown	ERR1229946	
	amplicon	Unknown	ERR1229947	
	amplicon	Unknown	ERR1229948	
	amplicon	Unknown	ERR1229949	
	amplicon	Unknown	ERR1229950	
	amplicon	Unknown	ERR1229951	
	amplicon	Unknown	ERR1229952	
	amplicon	Unknown	ERR1229953	
	amplicon	Unknown	ERR1229954	
	amplicon	Unknown	ERR1229955	
	amplicon	Unknown	ERR1229956	
	amplicon	Unknown	ERR1229957	
	amplicon	Unknown	ERR1229958	
	amplicon	Unknown	ERR1229959	
	amplicon	Unknown	ERR1229960	
	amplicon	Unknown	ERR1229961	
	amplicon	Unknown	ERR1229962	
	amplicon	Unknown	ERR1229963	
	amplicon	Unknown	ERR1229964	
	amplicon	Unknown	ERR1229965	
	amplicon	Unknown	ERR1229966	
	amplicon	Unknown	ERR1229967	
	amplicon	Unknown	ERR1229968	
	amplicon	Unknown	ERR1229969	
	amplicon	Unknown	ERR1229970	
	amplicon	Unknown	ERR1229971	
	amplicon	Unknown	ERR1229972	
	amplicon	Unknown	ERR1229973	
	amplicon	Unknown	ERR1229974	
	amplicon	Unknown	ERR1229975	
	amplicon	Unknown	ERR1229976	
	amplicon	Unknown	ERR1229977	
	amplicon	Unknown	ERR1229978	
	amplicon	Unknown	ERR1229979	
	amplicon	Unknown	ERR1229980	
	amplicon	Unknown	ERR1229981	
	amplicon	Unknown	ERR1229982	
	amplicon	Unknown	ERR1229983	
	amplicon	Unknown	ERR1229984	
	amplicon	Unknown	ERR1229985	
	amplicon	Unknown	ERR1229986	
	amplicon	Unknown	ERR1229987	
	amplicon	Unknown	ERR5953297	
	amplicon	Unknown	ERR5953298	
	amplicon	Unknown	ERR5953299	
	amplicon	Unknown	ERR5953300	
	amplicon	Unknown	ERR5953302	
	amplicon	Unknown	ERR5953303	
	amplicon	Unknown	ERR5953304	
	amplicon	Unknown	ERR5953305	
	amplicon	Unknown	ERR5953296	
	amplicon	Unknown	ERR5953117	
	amplicon	Unknown	ERR5953118	
	amplicon	Unknown	ERR5953119	
	amplicon	Unknown	ERR5953120	
	amplicon	Unknown	ERR5953121	
	amplicon	Unknown	ERR5953122	
	amplicon	Unknown	ERR5953123	
